"ID_VIV","ID_PER","UPM","VIV_SEL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","COD_RES","R_INF","SEL_D","SEL_M","N_REN","PAREN","SEXO","EDAD","NAC_D","NAC_M","COD","NIV","GRA","P3_8","P3_9","P3_10","P3_11","FAC_VIV","FAC_SEL","DOMINIO","UPM_DIS","EST_DIS"
"0101214.02","0101214.02.02","0101214","02","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","27","09","02","2","2","47","07","02","1","02","6","2","1","","2","4299.61053790339","21498.052689517","U","0006","0003"
"0101214.02","0101214.02.03","0101214","02","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","27","09","03","3","2","25","11","09","2","06","3","2","1","","2","4299.61053790339","0","U","0006","0003"
"0101214.02","0101214.02.04","0101214","02","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","27","09","04","3","2","22","16","08","2","06","3","2","1","","2","4299.61053790339","0","U","0006","0003"
"0101214.02","0101214.02.05","0101214","02","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","27","09","05","3","1","19","26","09","2","06","2","1","1","","2","4299.61053790339","0","U","0006","0003"
"0101214.03","0101214.03.01","0101214","03","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","01","10","01","1","1","42","05","10","1","08","5","2","1","","2","4299.61053790339","8599.2210758068","U","0006","0003"
"0101214.03","0101214.03.02","0101214","03","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","01","10","02","2","2","38","04","01","2","08","2","2","1","","2","4299.61053790339","0","U","0006","0003"
"0101214.04","0101214.04.01","0101214","04","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","27","09","01","1","2","59","18","05","2","00","","2","5","4","","4299.61053790339","0","U","0006","0003"
"0101214.04","0101214.04.02","0101214","04","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","27","09","02","2","1","61","24","09","2","06","2","2","6","4","","4299.61053790339","0","U","0006","0003"
"0101214.04","0101214.04.03","0101214","04","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","27","09","03","3","1","33","22","10","1","06","3","2","1","","2","4299.61053790339","17198.4421516136","U","0006","0003"
"0101214.04","0101214.04.04","0101214","04","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","27","09","04","3","2","37","18","05","2","02","6","2","1","","2","4299.61053790339","0","U","0006","0003"
