LON,LAT,EDO,CLAVE,ESTACION,jul_23
-99.190278,18.528889,MOR,XICMR,"Xicatlacotla, Mor.",169.6
-99.25,18.683333,MOR,XXOMR,"Xoxocotla, Mor.",220.1
-99.050556,18.899167,MOR,YAHMR,"Yautepec, Mor.",169.72
-99.196667,18.651389,MOR,ZCTMR,"Observatorio de Zacatepec, Mor.",118.82
-105.354167,22.49,NAY,ACANR,"Acaponeta, Nay.",262.94
-104.802222,21.839167,NAY,AGMNR,"Aguamilpa Solidaridad, Nay.",173.61
-104.5,21.944167,NAY,CHPNR,"Chapalagana, Nay.",166.31
-104.450833,21.428333,NAY,CJNNR,"Leonardo Rodríguez Alcaine, Nay.",188.8
-105.136667,20.889722,NAY,GAVNR,"Gaviotas, Nay.",413.57
-106.536944,21.629722,NAY,ISLASMARIASmar,"Islas Marías, Nay. SEMAR*",9.398
-104.516944,22.250833,NAY,JMANR,"Jesús María, Nay.",187.93
-105.211667,22.119722,NAY,ROMNR,"Rosamorada, Nay.",312.64
-104.8875,21.780833,NAY,RSRNR,"San Rafael, Nay.",231.3
-105.1425,21.958333,NAY,RUINR,"Ruiz, Nay.",144.85
-105.285556,21.531389,NAY,SANBLASmar,"San Blas, Nay. SEMAR*",174.34
-104.891944,21.489444,NAY,TEPNR,"Observatorio de Tepic, Nay.",259.92
-99.680556,24.897222,NL,ADJUNTASHUALA,"Las Adjuntas, N.L. SGT*",54.5
-99.816667,24.1,NL,ARRNL,"Aramberri, N.L.",23
-99.911667,24.321944,NL,ASCNL,"La Ascensión, N.L.",69
-99.743889,24.99,NL,CABNL,"Cabezones, N.L.",2.5
-99.578889,24.871944,NL,CAMNL,"Camacho, N.L.",10.51
-99.439444,24.976111,NL,CARNL,"Carmen de los Elizondo Linares, N.L.",65.82
-99.276944,25.711667,NL,CCHNL,"Cuchillo Solidaridad, N.L.",7
-99.975,25.590278,NL,CDRNL,"Cadereyta, N.L.",79.72
-99.746944,27.699167,NL,COLOMBIA,"Colombia, N.L. SGT*",2.7
-99.399722,24.9375,NL,CPRNL,"José López Portillo, N.L.",36
-99.6975,24.783611,NL,CRUNL,"Crucitas, N.L.",34
-99.614167,26.091389,NL,CRVNL,"Cerralvo, N.L.",75.9
-100.308333,25.576944,NL,ELDIENTE,"El Diente, N. L. SMN*",87.4
-100.083333,24.833333,NL,GALNL,"Galeana, N.L.",1
-100.128056,25.428056,NL,LBCNL,"Rodrigo Gómez, N.L.",96.7
-99.527222,25.497222,NL,LERNL,"Las Enramadas, N.L.",10.02
-99.401389,25.898333,NL,LosHerrera,"Los Herrera, N.L. SGT*",6
-99.833333,25.174167,NL,MTMNL,"Montemorelos, N.L.",17.61
-100.271667,25.6825,NL,MTRNL,"Monterrey, N.L.",59.5
-100.304722,25.733611,NL,OBSNL,"Observatorio de Monterrey, N.L.",59.5
-99.221667,24.992778,NL,PAMNL,"La Pamona, N.L.",2.01
-100.128889,25.429444,NL,PLABOCA,"Presa La Boca, N.L. SGT*",118.25
-100.551111,25.028333,NL,SRANL,"San Rafael, N.L.",65.53
-97.720556,17.533611,OAX,AMTOX,"San Antonino Monte Verde, Oax.",145.21
-95.700556,16.010833,OAX,ASTOX,"Astata, Oax.",31.12
-96.1,17.016667,OAX,AYUOX,"Ayutla, Oax.",242.1
-95.929167,16.647222,OAX,BOQOX,"Boquilla 1, Oax.",84.23
-98.278333,17.532778,OAX,CALOX,"Calihualá, Oax.",151.03
-96.263611,17.999167,OAX,CDOOX,"Miguel de la Madrid Hurtado, Oax.",685.02
-94.816667,16.583333,OAX,CHIOX,"Chicapa, Oax.",107.22
-97.023056,17.459167,OAX,CMTOX,"Santiago Camotlán, Oax.",51.54
-97.799444,16.780278,OAX,COSOX,"Cosoltepec, Oax.",36.5
-96.721944,15.812222,OAX,COZOX,"San Francisco Cozoaltepec, Oax.",46.62
-96.658333,18.492778,OAX,CSPOX,"Cosolapa, Oax.",356.12
-96.388889,18.1525,OAX,DPSOX,"Dique Pescaditos, Oax.",511.41
-95.374444,16.434722,OAX,EMAOX,"El Marqués, Oax.",41.61
-97.819167,17.746389,OAX,FOYOX,"San Francisco Yosocuta, Oax.",100.56
-97.776111,17.806667,OAX,HDLOX,"Huajuapan de León, Oax.",104.13
-97.776111,17.806667,OAX,HLOOX,"Observatorio de Huajuapan de León, Oax.",96.5
-96.133889,15.748889,OAX,HUATULCOmar,"Huatulco, Oax. SEMAR*",77.216
-95.869722,17.024722,OAX,HUYOX,"Huayapam, Oax.",344.6
-95.053889,16.503611,OAX,IXTALTEPEC,"Ixtaltepec, Oax. SGT*",114.8
-95.1,16.583333,OAX,IXTOX,"Ixtepec, Oax.",80.23
-96.2,17.866667,OAX,JACOX,"Jacatepec, Oax.",663.5
-95.397778,16.445556,OAX,JDMOX,"Presidente Benito Juárez, Oax.",102.9
-95.483333,17.45,OAX,MAROX,"María Lombardo, Oax.",466.46
-96.733333,17.066667,OAX,OACOX,"Oaxaca Centro, Oax.",69.5
-96.7,17.001389,OAX,OAOOX,"Observatorio de Aeropuerto Oaxaca, Oax.",74.44
-94.4,16.5,OAX,OSTOX,"Ostuta, Oax.",184.3
-96.083333,18.166667,OAX,PAPOX,"Papaloapan, Oax.",270.96
-96.716667,17.072778,OAX,PIAOX,"Organismo de Cuenca Pacífico Sur PIAE, Oax.",49.03
-96.483333,15.666667,OAX,PTAOX,"Observatorio de Puerto Ángel, Oax.",86.9
-95.481389,16.585278,OAX,RHOOX,"Río Hondo, Oax.",109
-97.725,16.102778,OAX,RVEOX,"Río Verde, Oax.",77.22
-97.895,17.905833,OAX,SCHOX,"Santiago Chilixtlahuaca, Oax.",87.72
-96.55,17.266667,OAX,SCIOX,"Ixtepeji, Oax.",69.5
-95.2,16.183333,OAX,SCROX,"Observatorio de Salina Cruz, Oax.",114.41
