clave,lat,lon,estacion,edo,abr-23
SMANANTLANI,-103.9175,19.463611,Sierra Manatl·n 1 SMN,JAL,0
SMAOX,-96.453611,17.1175,San Antonio Cuajimoloyas,OAX,61.8
SMCPB,-97.91,18.735,San Miguel Canoa,PUE,12.005
SMGCL,-100.953889,29.034167,San Miguel,COAH,0
SMOGJ,-100.745833,20.577778,San Miguel Octopan,GTO,0
SMORENACFE,-93.591111,16.152222,Sierra Morena CFE,CHIS,0.1
SNACP,-92.820833,16.938889,Santa MarÌa,CHIS,0
SNTBS,-109.713611,23.490278,Santiago,BCS,0
SOLPB,-97.446667,19.960833,La Soledad,PUE,142.22
SOMZC,-103.636667,23.638889,Observatorio de Sombrerete,ZAC,3.2
SONVC,-95.033333,18.516667,Sontecomapan,VER,215.51
SPECL,-102.979444,25.7575,San Pedro,COAH,0
SPGDR,-104.2925,25.564167,San Pedro del Gallo,DGO,0
SPPDR,-105.422222,25.0375,Santiago Papasquiaro,DGO,0
SPTTB,-91.158333,17.791667,San Pedro,TAB,0
SQNBN,-115.9375,30.531111,San QuintÌn SMN,BC,0
SQRSI,-106.25,23.35,Siqueros,SIN,0
SRDDR,-105.566667,26.084444,Sardinas,DGO,0.01
