"ID_VIV","UPM","VIV_SEL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","COD_RES","P1_1","P2_1","P2_2","P2_3","P2_4","FAC_VIV","DOMINIO","UPM_DIS","EST_DIS"
"0400389.01","0400389","01","04","CAMPECHE","002","CAMPECHE","01","1","04","1","","","1432.19291943736","U","0387","0009"
"0400389.02","0400389","02","04","CAMPECHE","002","CAMPECHE","01","1","04","1","","","1432.19291943736","U","0387","0009"
"0400389.03","0400389","03","04","CAMPECHE","002","CAMPECHE","01","1","04","1","","","1432.19291943736","U","0387","0009"
"0400389.04","0400389","04","04","CAMPECHE","002","CAMPECHE","01","1","01","1","","","1432.19291943736","U","0387","0009"
"0400389.05","0400389","05","04","CAMPECHE","002","CAMPECHE","01","1","03","1","","","1432.19291943736","U","0387","0009"
"0400406.01","0400406","01","04","CAMPECHE","002","CAMPECHE","01","1","02","1","","","1492.87906009149","U","0408","0009"
"0400406.03","0400406","03","04","CAMPECHE","002","CAMPECHE","01","1","05","1","","","1492.87906009149","U","0408","0009"
"0400406.04","0400406","04","04","CAMPECHE","002","CAMPECHE","01","1","03","1","","","1492.87906009149","U","0408","0009"
"0400406.05","0400406","05","04","CAMPECHE","002","CAMPECHE","01","1","02","1","","","1492.87906009149","U","0408","0009"
"0400450.01","0400450","01","04","CAMPECHE","002","CAMPECHE","01","1","04","1","","","1498.47683630312","U","0033","0011"
"0400450.02","0400450","02","04","CAMPECHE","002","CAMPECHE","01","1","04","1","","","1498.47683630312","U","0033","0011"
"0400450.04","0400450","04","04","CAMPECHE","002","CAMPECHE","01","1","02","1","","","1498.47683630312","U","0033","0011"
"0400450.05","0400450","05","04","CAMPECHE","002","CAMPECHE","01","1","03","1","","","1498.47683630312","U","0033","0011"
"0400493.01","0400493","01","04","CAMPECHE","002","CAMPECHE","01","1","01","1","","","1388.11140069165","U","0427","0010"
"0400493.02","0400493","02","04","CAMPECHE","002","CAMPECHE","01","1","02","1","","","1388.11140069165","U","0427","0010"
"0400493.03","0400493","03","04","CAMPECHE","002","CAMPECHE","01","1","07","1","","","1388.11140069165","U","0427","0010"
"0400493.04","0400493","04","04","CAMPECHE","002","CAMPECHE","01","1","04","1","","","1388.11140069165","U","0427","0010"
"0400493.05","0400493","05","04","CAMPECHE","002","CAMPECHE","01","1","09","1","","","1388.11140069165","U","0427","0010"
"0400500.01","0400500","01","04","CAMPECHE","002","CAMPECHE","01","1","04","1","","","1306.8269229652","U","0034","0010"
"0400500.02","0400500","02","04","CAMPECHE","002","CAMPECHE","01","1","03","1","","","1306.8269229652","U","0034","0010"
"0400500.03","0400500","03","04","CAMPECHE","002","CAMPECHE","01","1","04","1","","","1306.8269229652","U","0034","0010"
"0400500.04","0400500","04","04","CAMPECHE","002","CAMPECHE","01","1","03","1","","","1306.8269229652","U","0034","0010"
"0400500.05","0400500","05","04","CAMPECHE","002","CAMPECHE","01","1","04","1","","","1306.8269229652","U","0034","0010"
"0400641.01","0400641","01","04","CAMPECHE","002","CAMPECHE","01","1","05","1","","","1601.05544409672","U","0035","0010"
"0400641.02","0400641","02","04","CAMPECHE","002","CAMPECHE","01","1","01","1","","","1601.05544409672","U","0035","0010"
"0400641.03","0400641","03","04","CAMPECHE","002","CAMPECHE","01","1","03","1","","","1601.05544409672","U","0035","0010"
"0400641.04","0400641","04","04","CAMPECHE","002","CAMPECHE","01","1","03","1","","","1601.05544409672","U","0035","0010"
"0400641.05","0400641","05","04","CAMPECHE","002","CAMPECHE","01","1","02","1","","","1601.05544409672","U","0035","0010"
"0400657.01","0400657","01","04","CAMPECHE","002","CAMPECHE","01","1","02","1","","","1445.21285506861","U","0442","0009"
"0400657.03","0400657","03","04","CAMPECHE","002","CAMPECHE","01","1","03","1","","","1445.21285506861","U","0442","0009"
"0400657.04","0400657","04","04","CAMPECHE","002","CAMPECHE","01","1","05","1","","","1445.21285506861","U","0442","0009"
"0400657.05","0400657","05","04","CAMPECHE","002","CAMPECHE","01","1","04","1","","","1445.21285506861","U","0442","0009"
"0400664.01","0400664","01","04","CAMPECHE","002","CAMPECHE","01","1","04","1","","","1336.65402040352","U","0036","0011"
"0400664.02","0400664","02","04","CAMPECHE","002","CAMPECHE","01","1","04","1","","","1336.65402040352","U","0036","0011"
"0400664.04","0400664","04","04","CAMPECHE","002","CAMPECHE","01","1","01","1","","","1336.65402040352","U","0036","0011"
"0400664.05","0400664","05","04","CAMPECHE","002","CAMPECHE","01","1","03","1","","","1336.65402040352","U","0036","0011"
"0400823.01","0400823","01","04","CAMPECHE","002","CAMPECHE","01","1","06","1","","","1329.59670551686","U","0037","0010"
"0400823.02","0400823","02","04","CAMPECHE","002","CAMPECHE","01","1","01","1","","","1329.59670551686","U","0037","0010"
"0400823.03","0400823","03","04","CAMPECHE","002","CAMPECHE","01","1","04","1","","","1329.59670551686","U","0037","0010"
"0400823.04","0400823","04","04","CAMPECHE","002","CAMPECHE","01","1","02","1","","","1329.59670551686","U","0037","0010"
"0400823.05","0400823","05","04","CAMPECHE","002","CAMPECHE","01","1","03","1","","","1329.59670551686","U","0037","0010"
"0400832.01","0400832","01","04","CAMPECHE","002","CAMPECHE","01","1","07","1","","","1236.89388496863","U","0407","0009"
"0400832.02","0400832","02","04","CAMPECHE","002","CAMPECHE","01","1","02","1","","","1236.89388496863","U","0407","0009"
"0400832.04","0400832","04","04","CAMPECHE","002","CAMPECHE","01","1","04","1","","","1236.89388496863","U","0407","0009"
